,,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,,,
name,PA ID,Human_Sputum_B,Human_Sputum_A,Human_Sputum_C,Human_Sputum_D,Human_Sputum_E,Human_Sputum_F,Human_Sputum_G,HumanSputum_EM55B,HumanSputum_EM59,HumanSputum_EM60B,HumanSputum_EM13,HumanSputum_EM24,HumanSputum_EM30,HumanSputum_EM33,HumanSputum_EM35B,HumanSputum_EM36,HumanSputum_EM37B,HumanSputum_EM43,HumanSputum_EM48B,HumanSputum_EM49,HumanSputum_EM53B,HumanSputum_EM6,HumanSputum_EM61,HumanSputum_EM70,Rn_PAO1_SCFM2_3,Rn_PAO1_SCFM2_4,Rn_PAO1_SCFM2_5,Rn_PAO1_SCFM2_6,Rn_PAO1_SCFM2_7,Rn_PAO1_SCFM2_8,Rn_PAO1_SCFM2_9,Rn_PAO1_SCFM2_10,Rn_PAO1_SCFM2_11,Rn_PAO1_SCFM2_12,Rn_PAO1_SCFM2_13,Rn_PAO1_SCFM2_14,Rn_PAO1_SCFM2_15,Rn_PAO1_SCFM2_16,Rn_PAO1_SCFM2_17,Rn_PAO1_SCFM2_18,Rn_PAO1_SCFM1_1,Rn_PAO1_SCFM1_2,,,
glpQ,PA0347,4.753863537,5.49438695,4.970613811,5.44191953,6.304416007,5.119991435,5.413725975,6.489748055,5.611844532,6.44191953,4.245760819,7.44191953,5.44191953,7.097965129,7.319062783,6.44191953,5.789842834,5.249274452,5.85695703,4.93941919,6.084367526,2.48772322,6.80448961,5.8114702,4.477148019,4.146121167,5.521353998,4.448962807,4.049602108,4.741479812,3.634564608,4.346762297,4.428113731,4.156517311,4.318537115,5.341315589,4.399427448,4.281096736,3.813534749,4.433357517,5.508787433,5.397525411,,,
olsA,PA4351,2.583938535,7.816315045,3.833110288,4.119991435,5.304416007,4.119991435,6.22469215,5.214113613,5.611844532,4.44191953,4.660798318,3.44191953,7.207454277,4.719453506,7.871603806,6.44191953,5.982487912,2.44191953,6.664311952,4.93941919,5.254292527,5.947154839,5.634564608,5.017921077,3.288114194,2.860718948,3.713999076,3.882615985,2.049602108,3.326442313,3.634564608,3.209258774,3.312636513,3.741479812,1.926219692,2.656817415,2.460827993,3.308063784,3.366075772,3.626002595,3.792580399,3.982487912,,,
ctpL,PA4844,4.753863537,6.271994529,4.096144693,3.119991435,5.789842834,5.704953936,5.281275679,8.010580219,4.026882031,4.44191953,2.660798318,3.44191953,4.704953936,2.397525411,5.634564608,5.44191953,2.982487912,2.44191953,4.85695703,4.93941919,4.891722448,3.48772322,4.634564608,3.695992982,6.053648941,6.060391293,6.668195386,5.372000826,6.178885125,6.326442313,6.219527109,7.116149369,6.793763203,6.85695703,5.85695703,5.521887835,5.973897575,5.962567218,5.940067155,5.822399808,6.307153572,6.719453506,,,
plcH,PA0844,5.831866049,6.008960123,5.418072788,3.119991435,2.982487912,6.119991435,6.388190883,5.666625818,6.249274452,4.44191953,5.46815324,7.44191953,3.119991435,5.982487912,4.634564608,4.85695703,6.44191953,4.026882031,4.85695703,6.524381691,4.406295621,6.880040643,6.634564608,5.111030481,4.688652124,4.926808139,3.713999076,4.504104362,5.573164064,5.648370408,5.219527109,5.642218181,4.535028935,5.156517311,5.733574614,5.604349995,4.941954683,5.060970922,4.713999076,5.288967607,5.207617898,4.85695703,,,
plcN,PA3319,5.753863537,3.687032028,3.833110288,7.026882031,5.789842834,5.119991435,4.902764055,5.966186099,5.611844532,4.44191953,6.748261159,3.44191953,6.119991435,4.719453506,6.734100282,5.85695703,5.567450412,5.44191953,3.85695703,6.161811611,5.406295621,6.295078142,3.634564608,4.432958576,4.688652124,4.320150567,4.298961576,4.182176267,4.509033726,4.326442313,5.634564608,4.472293179,3.535028935,4.478445406,4.733574614,4.604349995,4.268182915,4.435819331,3.661531656,4.041040094,4.307153572,3.397525411,,,
eddA,PA3910,6.338826037,9.35945737,6.598645034,6.44191953,5.789842834,6.119991435,7.569520647,5.666625818,7.196807033,7.611844532,6.245760819,3.44191953,5.704953936,5.982487912,6.781405997,6.178885125,7.982487912,2.44191953,7.026882031,5.354456689,5.991258121,2.48772322,6.80448961,6.017921077,6.258967849,6.136843354,5.521353998,5.147960551,5.049602108,6.063407907,6.44191953,7.668690392,4.815136854,5.326442313,5.318537115,5.803658803,5.80660283,6.138138782,6.324496669,6.063407907,5.939421787,6.526808428,,,
eddB,PA3909,5.284378253,5.008960123,4.681107194,3.119991435,2.982487912,5.704953936,6.699777033,5.288114194,7.142359248,4.44191953,6.245760819,4.44191953,4.119991435,6.304416007,5.634564608,5.44191953,4.567450412,4.026882031,6.178885125,5.676384784,4.406295621,4.809651315,3.634564608,3.111030481,3.451612927,3.253036371,3.298961576,3.226570386,2.634564608,3.741479812,4.634564608,2.887330679,2.727674013,3.156517311,3.62665941,3.656817415,3.045790494,2.640639123,2.906644154,3.041040094,0.985225477,3.982487912,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
